id,lat,lon,detail,suburb,postcode
0,-33.79109592,151.2875061,,MANLY,2095
1,-33.80795853,151.2827409,,MANLY,2095
2,-33.7408621,151.2813856,,CROMER,2099
3,-33.787578100000005,151.2839821,,MANLY,2095
4,-33.75444708,151.2671746,,BEACON HILL,2100
5,-33.79238677,151.2839332,,MANLY,2095
6,-33.68330174,151.2229321,,TERREY HILLS,2084
7,-33.60074134,151.3214289,,PALM BEACH,2108
8,-33.79216674,151.2809351,,FAIRLIGHT,2094
9,-33.75260707,151.29108200000002,,DEE WHY,2099
10,-33.79132503,151.2773678,,FAIRLIGHT,2094
11,-33.77889946,151.289828,,FRESHWATER,2096
12,-33.77366776,151.2924048,,CURL CURL,2096
13,-33.7555362,151.2923932,,DEE WHY,2099
14,-33.78173347,151.2886902,,FRESHWATER,2096
15,-33.75138883,151.2936757,,DEE WHY,2099
16,-33.78573879,151.28763899999998,,MANLY,2095
17,-33.79926470000001,151.2808646,,MANLY,2095
18,-33.77136483,151.2861913,,FRESHWATER,2096
19,-33.78795262,151.28568810000002,,MANLY,2095
20,-33.77982907,151.2867256,,FRESHWATER,2096
21,-33.781138500000004,151.2866003,,QUEENSCLIFF,2096
22,-33.67357047,151.29767180000002,,MONA VALE,2103
23,-33.72424756,151.301118,,NARRABEEN,2101
24,-33.78301843,151.2825696,,QUEENSCLIFF,2096
25,-33.79135728,151.28649019999997,,MANLY,2095
26,-33.73055182,151.29802890000002,,COLLAROY,2097
27,-33.79705157,151.2888488,,MANLY,2095
28,-33.79604823,151.2618215,,BALGOWLAH,2093
29,-33.7955131,151.28686299999998,,MANLY,2095
30,-33.75511663,151.28664650000002,,DEE WHY,2099
31,-33.80149011,151.29402380000002,,MANLY,2095
32,-33.75665923,151.2938562,,DEE WHY,2099
33,-33.78576615,151.286779,,MANLY,2095
34,-33.76358346,151.2894373,,NORTH CURL CURL,2099
35,-33.79772764,151.28426140000002,,MANLY,2095
36,-33.80178148,151.2916406,,MANLY,2095
37,-33.76777163,151.27498530000003,,NORTH MANLY,2100
38,-33.60365843,151.32371830000002,,PALM BEACH,2108
39,-33.73375445,151.2237816,,BELROSE,2085
40,-33.75685548,151.2951866,,DEE WHY,2099
41,-33.80438583,151.2863496,,MANLY,2095
42,-33.62905053,151.33064240000002,,AVALON BEACH,2107
43,-33.7979596,151.2894726,,MANLY,2095
44,-33.74272488,151.2907241,,DEE WHY,2099
45,-33.6312304,151.31800269999997,,AVALON BEACH,2107
46,-33.76867621,151.29165769999997,,CURL CURL,2096
47,-33.74839461,151.2838356,,DEE WHY,2099
48,-33.63210322,151.32353840000002,,AVALON BEACH,2107
49,-33.7957467,151.275354,,FAIRLIGHT,2094
50,-33.79673622,151.2868566,,MANLY,2095
51,-33.6640986,151.3241286,,NEWPORT,2106
52,-33.79590311,151.2559915,,BALGOWLAH,2093
53,-33.79639551,151.28410569999997,,MANLY,2095
54,-33.75109498,151.28877749999998,,DEE WHY,2099
55,-33.69831348,151.3028869,,NORTH NARRABEEN,2101
