x,y
570,110
571,99
572,70
573,157
574,120
575,120
576,100
577,300
578,160
579,350
580,131
581,200
582,216
583,100
584,100
585,280
586,350
587,139
588,150
589,300
590,139
591,180
592,99
593,335
594,60
595,39
596,60
597,120
598,250
599,203
600,60
601,49
602,250
603,401
604,85
605,90
606,80
607,79
608,49
609,63
610,117
611,375
612,145
613,41
614,118
615,65
616,134
617,79
618,300
619,127
620,260
621,98
622,75
623,200
624,185
625,224
626,200
627,401
628,350
629,115
630,250
631,160
632,68
633,60
634,300
635,245
636,120
637,65
638,250
639,165
640,199
641,180
642,399
643,350
644,224
645,75
646,248
647,250
648,295
649,401
650,55
651,121
652,145
653,150
654,150
655,49
656,190
657,150
658,100
659,55
660,120
661,126
662,60
663,420
664,129
665,350
666,185
667,201
668,95
669,131
670,200
671,165
672,425
673,41
674,319
675,139
676,300
677,245
678,375
679,65
680,123
681,55
682,350
683,70
684,63
685,156
686,250
687,51
688,180
689,100
690,396
691,240
692,160
693,70
694,150
695,400
696,47
697,90
698,300
699,250
700,137
701,55
702,319
703,200
704,131
705,120
706,250
707,280
708,70
709,160
710,399
711,120
712,90
713,120
714,250
715,160
716,110
717,44
718,200
719,100
720,150
721,280
722,171
723,200
724,150
725,150
726,67
727,280
728,190
729,100
730,75
731,194
732,190
733,160
734,390
735,175
736,385
737,333
738,229
739,100
740,299
741,265
742,115
743,350
744,90
745,260
746,350
747,235
748,250
749,60
750,221
751,95
752,350
753,330
754,235
755,200
756,350
757,118
758,209
759,99
760,401
761,401
762,289
763,70
764,175
765,232
766,228
767,180
768,70
769,330
770,200
771,131
772,100
773,200
774,175
775,225
776,300
777,180
778,49
779,100
780,128
781,396
782,95
783,401
784,167
785,80
786,124
787,90
788,120
789,80
790,150
791,139
792,319
793,350
794,120
795,250
796,250
797,401
798,350
799,126
800,145
801,390
802,110
803,190
804,200
805,350
806,435
807,290
808,180
809,79
810,401
811,221
812,90
813,340
814,110
815,65
816,99
817,319
818,300
819,82
820,160
821,205
822,118
823,90
824,250
825,39
826,160
827,380
828,180
829,100
830,65
831,150
832,87
833,180
834,240
835,311
836,124
837,90
838,90
839,70
840,139
841,60
842,223
843,250
844,150
845,99
846,82
847,250
848,300
849,250
850,150
851,200
852,190
853,150
854,70
855,240
856,240
857,95
858,160
859,180
860,180
861,401
862,420
863,250
864,120
865,280
866,106
867,289
868,153
869,200
870,250
871,110
872,131
873,126
874,295
875,260
876,80
877,150
878,300
879,250
880,150
881,300
882,210
883,300
884,145
885,200
886,220
887,120
888,190
889,134
890,300
891,44
892,330
893,200
894,213
895,95
896,95
897,198
898,49
899,110
900,221
901,80
902,180
903,90
904,120
905,300
906,126
907,225
908,221
909,401
910,93
911,321
912,300
913,160
914,350
915,295
916,265
917,269
918,60
919,171
920,420
921,75
922,185
923,70
924,200
925,150
926,150
927,428
928,205
929,200
930,90
931,250
932,95
933,251
934,120
935,160
936,201
937,300
938,60
939,150
940,115
941,280
942,120
943,250
944,80
945,160
946,250
947,250
948,280
949,107
950,134
951,66
952,119
