"Id","price","host_is_superhost","host_total_listings_count","host_identity_verified","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","security_deposit","cleaning_fee","extra_people","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","is_business_travel_ready","cancellation_policy","reviews_per_month"
570,110,"f",1,"t",-33.7446836,151.2878881,"Apartment","Entire home/apt",4,1,2,2,,,0,2,10,1,80,8,6,10,10,8,8,"f","f","flexible",0.04
571,99,"t",1,"f",-33.79311716,151.2867946,"Apartment","Private room",2,1,1,1,0,50,0,2,1125,10,98,10,10,10,10,10,10,"f","f","flexible",0.8
572,70,"f",1,"f",-33.7180329,151.2989307,"Apartment","Entire home/apt",4,1,1,2,500,,0,7,7,1,100,10,10,10,10,10,10,"f","f","strict",0.09
573,157,"f",1,"t",-33.80258095,151.2876912,"Apartment","Entire home/apt",3,1,2,1,,60,0,1,3,3,90,9,8,10,9,8,9,"f","f","strict",0.13
574,120,"f",1,"f",-33.75713633,151.2913374,"Apartment","Entire home/apt",4,1,2,2,,,0,3,1125,0,,,,,,,,"f","f","moderate",
575,120,"f",1,"f",-33.67011528,151.2978986,"Apartment","Entire home/apt",4,1,2,2,150,,0,4,1125,7,97,10,10,10,10,10,10,"f","f","flexible",0.27
576,100,"f",1,"t",-33.80106683,151.2876625,"Apartment","Entire home/apt",4,1,2,2,,35,0,5,7,1,,,,,,,,"f","f","strict",0.05
577,300,"f",1,"t",-33.79921039,151.2921638,"Apartment","Private room",2,1,1,1,300,60,0,2,1125,9,98,10,10,10,10,10,10,"f","f","strict",0.26
578,160,"f",1,"t",-33.65095277,151.3118306,"House","Entire home/apt",5,2,3,5,1000,300,0,3,1125,0,,,,,,,,"f","f","moderate",
579,350,"f",1,"f",-33.79689739,151.2747949,"House","Entire home/apt",6,2,4,5,,,0,5,15,0,,,,,,,,"f","f","flexible",
580,131,"f",1,"f",-33.77306194,151.279717,"House","Entire home/apt",4,1,3,3,,,0,21,38,0,,,,,,,,"t","f","flexible",
581,200,"f",1,"f",-33.8038222,151.2888583,"Apartment","Entire home/apt",4,2,3,2,,55,0,7,1125,0,,,,,,,,"f","f","flexible",
582,216,"f",2,"t",-33.78012274,151.2778721,"Apartment","Entire home/apt",4,1,2,3,500,80,0,2,1125,1,80,10,10,10,10,6,8,"f","f","strict",1
583,100,"f",2,"f",-33.78075369,151.2871975,"House","Private room",2,1,1,1,200,25,0,1,40,1,100,10,10,10,10,10,10,"t","f","strict",0.46
584,100,"f",1,"f",-33.76131552,151.2842451,"Apartment","Entire home/apt",2,1,1,1,,100,0,5,1125,0,,,,,,,,"f","f","flexible",
585,280,"f",1,"t",-33.79366194,151.2714687,"House","Entire home/apt",4,1.5,3,3,0,100,50,3,33,12,93,9,9,9,10,9,9,"f","f","moderate",0.51
586,350,"f",1,"f",-33.72307837,151.2933499,"Townhouse","Entire home/apt",6,2,3,6,,,0,3,1125,2,80,9,5,8,9,9,7,"t","f","flexible",0.16
587,139,"f",5,"f",-33.78751752,151.2836678,"Apartment","Entire home/apt",2,1,1,2,,,0,3,1125,6,97,10,10,10,10,10,10,"f","f","strict",0.29
588,150,"f",1,"t",-33.74748479,151.2380296,"House","Entire home/apt",7,3,3,4,500,100,0,2,2,2,100,10,10,10,10,10,10,"t","f","strict",0.16
589,300,"f",198,"f",-33.77204869,151.2674868,"House","Entire home/apt",4,1,2,2,400,235,0,3,1125,1,100,10,10,6,10,10,10,"t","f","strict",1
590,139,"f",1,"t",-33.75459433,151.2876214,"Apartment","Entire home/apt",4,1,1,1,500,75,15,2,1125,17,95,10,10,10,10,10,10,"f","f","strict",0.55
591,180,"f",1,"f",-33.67549711,151.3133821,"Apartment","Entire home/apt",4,1,2,2,150,120,20,3,160,23,92,10,9,10,10,10,9,"t","t","strict",0.47
592,99,"f",1,"t",-33.78845074,151.2834396,"House","Entire home/apt",2,1,1,1,,15,0,1,14,1,,,,,,,,"t","f","flexible",0.06
593,335,"f",1,"f",-33.76940742,151.2758599,"House","Entire home/apt",7,2,4,5,,,25,6,1125,2,90,9,9,10,10,10,9,"f","f","strict",0.08
594,60,"t",1,"t",-33.75737987,151.2399587,"House","Private room",2,1,1,1,,,0,1,7,32,100,10,10,10,10,10,10,"t","f","moderate",3.01
595,39,"f",1,"f",-33.79594505,151.2598303,"Apartment","Private room",2,1,1,1,,,0,1,1125,0,,,,,,,,"t","f","flexible",
596,60,"f",3,"f",-33.79787103,151.2806019,"Apartment","Private room",2,1,1,1,250,35,0,2,1125,30,91,9,10,10,10,10,9,"f","f","moderate",1.91
597,120,"f",1,"t",-33.7969973,151.2874654,"Apartment","Entire home/apt",4,1,1,2,150,155,25,3,1125,5,80,9,7,8,10,10,9,"f","f","strict",0.78
